Quel est l'animal qui vit dans une ruche ?,Abeille,Fourmi,Guêpe,Serpent
Combien de pattes a un chat ?,4,2,3,5
Quel est l'animal qui vit dans la mer et a une carapace ?,Tortue,Poisson,Crabe,Étoile de mer
Quel est le nom du célèbre dessin animé avec un poisson appelé "Nemo" ?,Le Monde de Nemo,La Reine des Neiges,Le Roi Lion,Shrek
Quel est le fruit rouge et sucré qui pousse sur des arbustes ?,Fraise,Orange,Poire,Pomme
Quel est le nom de l'instrument utilisé pour mesurer la température ?,Thermomètre,Baromètre,Altimètre,Compass
Quel est le nombre de continents sur Terre ?,7,6,5,8
Quel est l'animal qui a des rayures noires et blanches ?,Zèbre,Cheval,Âne,Chèvre
Quel est le nom du président américain en 2021 ?,Joe Biden,Barack Obama,Donald Trump,George Bush
Combien de lettres dans le mot "chocolat" ?,8,7,6,9
Dans quel pays se trouve la ville de New York ?,États-Unis,Canada,Angleterre,France
Comment s'appelle le mois après décembre ?,Janvier,Février,Mars,Avril
Quel est l'organe qui nous permet de voir ?,Œil,Oreille,Bouche,Main
Quel est le sport où l'on lance un ballon dans un panier ?,Basketball,Football,Baseball,Rugby
Quel est l'animal qui vit dans une coquille ?,Escargot,Chauve-souris,Pingouin,Chinchilla
Quel est le pays qui possède l'Empire d'État de l'Inde ?,Inde,Chine,États-Unis,Australie
Combien de secondes dans une minute ?,60,70,100,50
Quel est le prénom du célèbre sorcier dans la saga "Harry Potter" ?,Harry,Ron,Hermione,Draco
Combien de faces a un cube ?,6,5,4,3
Qui est le créateur de Mickey Mouse ?,Walt Disney,Stan Lee,Charles Schulz,Jim Davis
Quel est l'instrument avec des cordes qu'on pince ?,Guitare,Violon,Flûte,Clarinette
Quel est le plus grand désert du monde ?,Sahara,Désert de Gobi,Désert de Kalahari,Désert d'Arabie
Combien de jours y a-t-il dans un mois de février (année normale) ?,28,30,31,29
Comment s'appelle le plus long fleuve du monde ?,Amazonie,Nil,Mississippi,Missouri
Quel est l'animal qui aboie ?,Chien,Chat,Cheval,Poisson
Quel est l'élément chimique de symbole He ?,Hélium,Oxygène,Azote,Hydrogène
Quel est le mois qui suit mars ?,Avril,Février,Janvier,Octobre
Combien de pattes a une araignée ?,8,6,10,4
Comment s'appelle le président de la France en 2021 ?,Emmanuel Macron,François Hollande,Jacques Chirac,Charles de Gaulle
Quel est l'instrument qui sert à mesurer le temps ?,Montre,Horloge,Calendrier,Minuteur
Quel est le contraire de "chaud" ?,Froid,Grand,Petit,Vite
Quel est le prénom du personnage de Disney avec des oreilles rondes ?,Mickey,Donald,Goofy,Pluto
Quel est l'organe utilisé pour voir ?,Œil,Oreille,Bouche,Nez
Quel est l'animal qui vit dans l'eau et a des nageoires ?,Poisson,Tortue,Serpent,Chien
Quel est l'élément chimique de symbole N ?,Azote,Oxygène,Hélium,Hydrogène
Combien de joueurs y a-t-il dans une équipe de basket ?,5,6,7,4
Quel est le fruit qui est souvent rouge ou vert ?,Pomme,Poire,Orange,Ananas
Quel est l'instrument de musique avec des touches noires et blanches ?,Piano,Guitare,Violoncelle,Batterie
Quel est l'animal qui a une carapace ?,Tortue,Poisson,Éléphant,Chat
Quel est le mois après octobre ?,Novembre,Septembre,Août,Décembre
Quel est l'élément chimique de symbole Cl ?,Chlore,Plomb,Argon,Oxygène
Quel est le prénom du héros de la saga "Percy Jackson" ?,Percy,Harry,Artemis,Zeus
Quel est le nom du fleuve qui traverse Paris ?,Seine,Rhône,Loire,Garonne
Quel est l'instrument qui produit un son quand on souffle dedans ?,Flûte,Violoncelle,Clarinette,Trompette
Quel est l'animal qui vit dans un terrier ?,Lapin,Chien,Chat,Éléphant
Quel est le sport où l'on frappe une balle avec un club ?,Golf,Tennis,Football,Baseball
Quel est l'élément chimique de symbole C ?,Carbone,Calcium,Oxygène,Azote
Combien de dents a un adulte ?,32,28,30,36
Quel est l'instrument utilisé pour dessiner ?,Crayon,Peinture,Stylo,Marqueur
Comment s'appelle le célèbre personnage de contes qui dort dans une forêt ?,Blanche-Neige,Cendrillon,La Belle au bois dormant,Raiponce
Quel est le nom de la planète la plus proche du soleil ?,Mercure,Terre,Mars,Vénus
Quel est l'animal qui a des ailes et qui vole ?,Oiseau,Chat,Chien,Poisson
Dans quel pays se trouve la grande muraille ?,Chine,Corée,Japon,Vietnam
Quel est l'élément chimique de symbole Au ?,Or,Argent,Cuivre,Platine
Quel est l'instrument de musique à cordes pincées ?,Guitare,Violon,Piano,Clarinette
Quel est le nom du plus grand animal marin ?,Baleine,Dauphin,Requin,Poisson
Quel est le mois après juin ?,Juillet,Août,Septembre,Octobre
