Quelle est la capitale de la Suède ?,Stockholm,Oslo,Helsinki,Copenhague
Quel continent contient le plus de pays ?,Afrique,Asie,Europe,Amérique
Quel organe permet de filtrer le sang ?,Reins,Foie,Poumons,Cœur
Quel est le rôle des globules blancs ?,Défendre l’organisme,Transporter l’oxygène,Coaguler le sang,Produire des hormones
Quelle partie de la plante absorbe l’eau ?,Racines,Feuilles,Tige,Fleur
Quelle transformation permet le passage de l’eau liquide en vapeur ?,Évaporation,Condensation,Solidification,Précipitation
Quelle unité mesure la puissance électrique ?,Watt,Volt,Ampère,Ohm
Quel appareil mesure la tension électrique ?,Voltmètre,Ampèremètre,Baromètre,Ohmmètre
Quelle énergie est stockée dans les aliments ?,Chimique,Thermique,Électrique,Nucléaire
Quelle planète est la plus grande du système solaire ?,Jupiter,Saturne,Neptune,Terre
Combien de joueurs composent une équipe de rugby ?,15,11,7,13
Quel sport se pratique à Wimbledon ?,Tennis,Badminton,Golf,Cricket
Quel pays a remporté la Coupe du monde 2006 ?,Italie,France,Brésil,Allemagne
Qui a écrit « Germinal » ?,Émile Zola,Victor Hugo,Balzac,Maupassant
Quel est le genre du mot « oasis » ?,Masculin,Féminin,Les deux,Aucun
Quel est le contraire de « rigide » ?,Souple,Droit,Dur,Fixe
Quel mot est un nom commun ?,Maison,Courir,Rapide,Beau
Quel fleuve traverse Rome ?,Tibre,Danube,Rhin,Pô
Quelle est la capitale de la Grèce ?,Athènes,Sparte,Thessalonique,Corinthe
Quel gaz est rejeté lors de la respiration ?,Dioxyde de carbone,Oxygène,Azote,Hélium
Quelle planète possède le plus de satellites ?,Jupiter,Saturne,Mars,Uranus
Quel os protège le cœur ?,Cage thoracique,Crâne,Colonne vertébrale,Bassin
Quelle langue est parlée en Autriche ?,Allemand,Italien,Français,Anglais
Quel est le symbole chimique du sodium ?,Na,So,Sn,Sd
Quel organe permet la digestion des aliments ?,Estomac,Poumons,Cœur,Reins
Quel sport utilise un ballon ovale ?,Rugby,Football,Basket,Handball
Quelle est la monnaie des États-Unis ?,Dollar,Euro,Livre,Yen
Quelle figure a trois côtés ?,Triangle,Carré,Rectangle,Losange
Quelle planète est visible à l’œil nu et appelée étoile du berger ?,Vénus,Mars,Jupiter,Saturne
Quel est l’auteur de « Dom Juan » ?,Molière,Racine,Corneille,La Fontaine
Dans un triangle rectangle si les deux côtés mesurent 9 et 12 que vaut l’hypoténuse ?,15,18,21,6
Quel temps est utilisé dans « Vous eûtes compris » ?,Passé antérieur,Plus-que-parfait,Imparfait,Conditionnel
Quelle est la capitale de la Slovénie ?,Ljubljana,Bratislava,Zagreb,Belgrade
Quel organe permet la régulation de la température du corps ?,Peau,Cœur,Poumons,Reins
